貨品編號,貨品名稱,代送費
A01,削皮,3
A02,莫尼削皮,3
A03,削皮20,3
A04,削皮18,3
A05,Z吐,3
A11,吐司,3
A11-1,吐司(半),3
A12,吐司20,3
A13,吐司18,3
A15,完全不切,3
B01,生吐司削皮,3
B02,生吐司,3
B03,生吐司厚片,3
B03-1,生吐司厚片11,3
B04,生吐司山形7片,3
B05,生吐司山形12片,3
B06,生吐司山形20片,3
B07,生吐司山形18,3
B08,生吐司(片),3
B09,退(片),3
C01,削厚12,3
C02,削厚11,3
C03,削厚10,3
C11,厚片12,3
C11-1,厚片(半),3
C12,厚片11,3
C13,厚片10,3
C14,厚片7,3
D01,山形20,3
D02,山形18,3
D03,山形厚12,3
D04,山形厚11,3
D05,山形厚10,3
D06,山形厚7,3
E01,全麥削皮,3
E01-1,全麥削皮20,3
E02,全麥吐司,3
E02-1,小全麥吐司,3
E02-2,全麥吐司(半),3
E03,全麥厚12,3
E11,白麥削皮,3
E12,白麥吐司,3
E13,白麥厚12,3
E21,丹麥吐20,3
E22,丹麥吐18,3
E23,丹麥厚12,3
E24,丹麥厚11,3
E25,丹麥厚10,3
E26,丹麥厚7,3
F01,紅蘿蔔削皮,3
F01-1,紅蘿蔔削皮20,3
F02,紅蘿蔔吐司,3
F02-1,鮮奶紅蘿蔔吐司,3
F03,紅蘿蔔厚12,3
F04,草莓削皮,3
F04-1,草莓削皮20,3
F05,草莓吐司,3
F06,草莓完全不切,3
F11,葡萄乾吐司,3
F12,葡萄乾厚片,3
G01,24兩吐司,3
G02,24兩厚片,3
G03,圓吐司,3
H01,漢堡,1
H02,美式堡,1
H02-1,大美式堡,1
H03,小美式堡,1
H04,小漢堡,0.5
H04-1,小餐包,0.5
H05,全麥堡,1
H06,全麥美式堡,1
H07,黑焦美式堡,1
H08,竹炭堡,1
H08-1,竹炭小漢堡,0.5
H09,菠蘿堡,1
H10,丹麥堡,1
H11,丹麥菠蘿堡,1
H12,布里歐漢堡,1
H12-1,小布里歐,0.5
I01,沙拉堡,1
I02,側切沙拉堡,1
I03,芝麻沙拉堡,1
I03-1,側切芝麻沙拉堡,1
I04,全麥沙拉堡,1
I05,竹炭沙拉堡,1
I06,乳酪堡,1
I06-1,大乳酪堡,1
I07,軟法,1
I07-1,小軟法,1
I08,拖鞋堡,1
I09,麥香葡萄軟歐大,1
I10,麥香葡萄軟歐小,1
I11,可可豆麵包(大),1
I12,可可豆麵包(小),1
J01,方可頌,1
J02,燒餅,1
J03,大可頌,1
J04,中可頌,1
J05,小可頌,0.5
J06,奶油捲,0.5
J07,黃金捲,0.5
J08,丹麥蘋果,1
J09,丹麥藍莓,1
J10,可麗露,1
J11,丹麥菠蘿芋頭,1
