分類,貨品編號,貨品名稱
白吐司,,
,A01,削皮
,A02,莫尼削皮
,A03,削皮20
,A04,削皮18
,A05,Z吐
,A11,吐司
,A11-1,吐司(半)
,A12,吐司20
,A13,吐司18
,A15,完全不切
,B01,生吐司削皮
,C01,削厚12
,C02,削厚11
,C03,削厚10
,C11,厚片12
,C11-1,厚片(半)
,C12,厚片11
,C13,厚片10
,C14,厚片7
生吐司,,
,B02,生吐司
,B03,生吐司厚片
,B03-1,生吐司厚片11
山生吐,,
,B04,生吐司山形7片
,B07,生吐司山形18
山形,,
,D01,山形20
,D02,山形18
,D03,山形厚12
,D04,山形厚11
,D05,山形厚10
,D06,山形厚7
全麥,,
,E01,全麥削皮
,E01-1,全麥削皮20
,E02,全麥吐司
,E02-2,全麥吐司(半)
,E03,全麥厚12
,E11,白麥削皮
丹麥,,
,E21,丹麥吐20
,E22,丹麥吐18
,E23,丹麥厚12
,E24,丹麥厚11
,E25,丹麥厚10
,E26,丹麥厚7
紅蘿蔔,,
,F01,紅蘿蔔削皮
,F01-1,紅蘿蔔削皮20
,F02,紅蘿蔔吐司
,F03,紅蘿蔔厚12
草莓,,
,F04,草莓削皮
,F04-1,草莓削皮20
,F05,草莓吐司
葡萄乾,,
,F11,葡萄乾吐司
,F12,葡萄乾厚片
肉蛋,,
,G01,24兩吐司
,G02,24兩厚片
圓吐司,,
,G03,圓吐司
漢堡,,
,H01,漢堡
其他,,
,H02,美式堡
,H03,小美式堡
,H04,小漢堡
,H04-1,小餐包
,H05,全麥堡
,H06,全麥美式堡
,H08,竹炭堡
,H08-1,竹炭小漢堡
,H09,菠蘿堡
,H10,丹麥堡
,H12,布里歐漢堡
,H12-1,小布里歐
,I01,沙拉堡
,I02,側切沙拉堡
,I03,芝麻沙拉堡
,I05,竹炭沙拉堡
,I06,乳酪堡
,I07,軟法
,I07-1,小軟法
,I08,拖鞋堡
,J01,方可頌
,J02,燒餅
,J03,大可頌
,J04,中可頌
,J05,小可頌
,J06,奶油捲
,J07,黃金捲
,J08,丹麥蘋果
,J09,丹麥藍莓
,J11,丹麥菠蘿芋頭
